index,Participant,elab.decay,elab.temp,elab.ter,elab.LL,med.decay,med.temp,med.ter,med.LL,best.model,diff.LL
0,1001,1.752918454,0.381719374,1.999955711,-275.5783888,1.999999998,0.322108482,1.999987685,-224.4190954,Mediator,51.1592934
1,1002,1.796236189,0.416278432,1.999955712,-284.4606912,1.871569568,0.361223117,1.999955716,-239.1484719,Mediator,45.31221936
2,1003,1.703781811,0.398024221,1.999955711,-278.2393296,1.94309447,0.333615214,1.999999961,-226.9081897,Mediator,51.33113991
3,1004,1.227155454,0.479060236,1.999955708,-308.8649508,1.715945643,0.367940622,1.999955711,-250.3068975,Mediator,58.55805331
4,1005,1.999999998,0.336304127,1.999987685,-236.0700334,1.999999998,0.306017875,1.999987685,-196.0057713,Mediator,40.06426213
5,1006,1.78395881,0.383729174,1.999955712,-268.7052191,1.999999998,0.341064492,1.999987685,-227.493941,Mediator,41.2112781
6,1007,1.744678252,0.373594461,1.999955711,-259.5838206,1.999999998,0.325840475,1.999987685,-213.9218591,Mediator,45.66196155
7,1008,0.372163721,0.22720697,0.145300394,-201.5774569,1.999999998,0.30510943,1.999987685,-215.6123438,Elaborative,-14.03488688
8,1009,1.999999998,0.314980647,1.999987685,-227.2456471,1.999999998,0.298614465,1.999987685,-195.1502456,Mediator,32.09540149
9,1010,1.999999998,0.307828649,1.999987685,-214.7611108,1.999999998,0.295894274,1.999987685,-185.7816713,Mediator,28.97943947
10,1011,1.42403516,0.435103636,1.999955708,-287.2499399,1.780087791,0.356765946,1.999955712,-235.3854508,Mediator,51.86448912
11,1012,1.626785687,0.409602133,1.999955709,-286.3261725,1.999999998,0.344978263,1.999987685,-236.8763259,Mediator,49.44984665
12,1013,1.721210781,0.388821023,1.999955711,-273.0082016,1.913452994,0.352841716,1.99995572,-235.6858048,Mediator,37.32239681
13,1014,1.870758743,0.386659367,1.999955716,-275.7846021,1.999999998,0.33929459,1.999987685,-231.6436484,Mediator,44.14095375
14,1015,0.182538622,0.313036024,0.186700956,-309.2590078,1.525338675,0.440418016,1.999955709,-281.7320377,Mediator,27.52697017
15,1016,1.999999998,0.348094997,1.999987685,-258.0467913,1.999999998,0.305758274,1.999987685,-211.9026833,Mediator,46.14410794
16,1017,1.684799282,0.396772576,1.999955711,-281.0270514,1.999999998,0.334283812,1.999987685,-230.5922406,Mediator,50.43481082
17,1018,1.999999998,0.342467481,1.999987685,-242.8303054,1.999999998,0.311456545,1.999987685,-203.315234,Mediator,39.51507141
18,1019,1.369595824,0.468153143,1.999955708,-301.9938745,1.897620243,0.362307327,1.999955718,-243.0700692,Mediator,58.92380539
19,1020,1.999999998,0.309556609,1.999987685,-219.7181019,1.999999998,0.299081415,1.999987685,-191.6928156,Mediator,28.02528629
20,1021,1.56909949,0.412270863,1.999955709,-284.7890784,1.77212279,0.369520998,1.999955712,-246.8037151,Mediator,37.98536324
21,1022,1.967552346,0.38309437,1.999999979,-273.9249442,1.941870788,0.354752185,1.999999963,-239.1096266,Mediator,34.81531764
22,1023,1.79518841,0.389532782,1.999955712,-271.3943768,1.999999998,0.348775667,1.999987685,-231.3220739,Mediator,40.07230283
23,1024,1.815226585,0.364368785,1.999955713,-255.0713857,1.980735162,0.334019278,1.999999992,-218.8395407,Mediator,36.23184501
24,1025,1.999999998,0.336682238,1.999987685,-241.0275,1.999999998,0.296291018,1.999987685,-193.9156954,Mediator,47.1118046
25,1026,1.941422755,0.342807872,1.999999964,-245.1565618,1.999999998,0.313882742,1.999987685,-206.8227065,Mediator,38.33385534
26,1028,1.999999998,0.320911993,1.999987685,-228.488383,1.999999998,0.297024378,1.999987685,-191.9895617,Mediator,36.49882137
27,1029,1.547560076,0.446859751,1.999955709,-297.8831827,1.999999998,0.355298305,1.999987685,-240.8243865,Mediator,57.05879629
28,1031,1.999999998,0.320143571,1.999987685,-231.120965,1.999999998,0.302380289,1.999987685,-198.913509,Mediator,32.207456
29,1032,0.21624424,0.30183195,0.149460018,-302.6272521,1.55724285,0.438078347,1.999955709,-279.5124318,Mediator,23.11482025
30,1033,1.576872955,0.406036546,1.999955709,-282.5950129,1.999999998,0.328624931,1.999987685,-226.3088284,Mediator,56.2861845
31,1035,1.999999998,0.325246715,1.999987685,-237.950595,1.999999998,0.292214203,1.999987685,-194.8142863,Mediator,43.13630868
32,1036,1.943303712,0.344477824,1.999999963,-245.1655813,1.999999998,0.331262402,1.999987685,-216.9977472,Mediator,28.16783416
33,1037,1.999999998,0.312251879,1.999987685,-223.5458477,1.999999998,0.278264397,1.999987685,-178.5225161,Mediator,45.02333156
34,1038,1.999999998,0.324277561,1.999987685,-231.3752666,1.999999998,0.300816004,1.999987685,-195.1651237,Mediator,36.21014289
35,1039,1.876676511,0.36114449,1.999955716,-254.7460132,1.981124306,0.337696474,1.999999992,-221.732636,Mediator,33.01337719
36,1040,1.378111542,0.453937096,1.999955708,-298.1039472,1.766222417,0.351500828,1.999955711,-238.1234038,Mediator,59.98054331
37,1041,1.582461529,0.39368409,1.99995571,-275.6433423,1.999999998,0.340378467,1.999987685,-230.6779745,Mediator,44.96536777
38,1042,1.877746669,0.354858072,1.999955716,-252.5910384,1.999999998,0.322515576,1.999987685,-213.8294814,Mediator,38.76155701
39,1043,1.999999998,0.330073026,1.999987685,-242.0590058,1.999999998,0.301454177,1.999987685,-202.6654248,Mediator,39.39358098
40,1044,1.999999998,0.303216717,1.999987685,-216.0776227,1.999999998,0.277344981,1.999987685,-177.1007779,Mediator,38.97684481
41,1045,1.89350131,0.342572734,1.999955718,-247.6451794,1.999999998,0.302715978,1.999987685,-201.8466517,Mediator,45.79852768
42,1046,1.968340401,0.352326432,1.999999976,-250.3980265,1.977583668,0.32727029,1.999999985,-215.2368995,Mediator,35.16112701
43,1047,1.999999998,0.300185491,1.999987685,-207.2121574,1.999999998,0.297205232,1.999987685,-184.4909564,Mediator,22.72120098
44,1049,1.802666953,0.354357278,1.999955712,-251.1496868,1.999999998,0.322009992,1.999987685,-212.9672995,Mediator,38.1823873
45,1050,0.27804633,0.278312188,0.140655662,-247.1149254,1.999999998,0.344026423,1.999987685,-238.0621468,Mediator,9.052778581
46,1051,0.376079263,0.191990411,0.18331203,-206.01999,1.999999998,0.321259634,1.999987685,-224.4552823,Elaborative,-18.43529227
47,1053,0.374620111,0.30430526,0.104952701,-242.7205805,1.999999998,0.330783564,1.999987685,-235.5823604,Mediator,7.138220034
48,1054,1.999999998,0.363066659,1.999987685,-262.5525763,1.999999998,0.308662559,1.999987685,-209.9919027,Mediator,52.56067363
49,1055,0.399978566,0.367373298,0.16547565,-272.8303011,1.954090548,0.364099835,1.999999961,-250.8990118,Mediator,21.93128926
50,1056,1.772894452,0.362800954,1.999955712,-266.1206581,1.999999998,0.300509838,1.999987685,-209.5686303,Mediator,56.55202779
51,1057,0.362297235,0.207883529,0.190716789,-216.3793863,1.999999998,0.324984415,1.999987685,-221.0882634,Elaborative,-4.70887704
52,1058,1.766060616,0.396055272,1.999955711,-282.0979689,1.999999998,0.351900956,1.999987685,-241.8876687,Mediator,40.2103002
53,1059,1.999999998,0.310380788,1.999987685,-218.9921932,1.999999998,0.29465829,1.999987685,-187.4437538,Mediator,31.5484394
54,1061,0.415258292,0.300961883,0.173575148,-270.5483588,1.983057069,0.361092376,1.999999991,-255.5415588,Mediator,15.00679999
55,1063,0.255810822,0.32068865,0.164010505,-312.0509685,1.67806577,0.411431958,1.999955709,-278.495029,Mediator,33.55593954
56,1064,1.999999998,0.304890956,1.999987685,-221.4240489,1.999999998,0.286814621,1.999987685,-187.6795259,Mediator,33.74452301
57,1065,1.999999998,0.339569825,1.999987685,-249.6150273,1.999999998,0.315767412,1.999987685,-214.7036221,Mediator,34.91140527
58,1067,0.26486897,0.324576148,0.21466093,-310.1499315,1.669314465,0.413299889,1.99995571,-279.4195489,Mediator,30.7303826
59,1068,1.999999998,0.307539966,1.999987685,-226.357714,1.999999998,0.289724301,1.999987685,-192.8063997,Mediator,33.55131438
60,1069,1.999999998,0.324645879,1.999987685,-230.8473468,1.999999998,0.311673733,1.999987685,-201.7911034,Mediator,29.05624347
61,NaN,1.999952051,1.999951635,1.999955721,0,1.999952051,1.999951635,1.999955721,0,Mediator,0
