"","participant","cue","phase","condition","target","response","rt","correct","Column1","Column2","pred_correct"
"1",1001,"EMPIRE","test","error","STATE","STATE",1610,1,NA,"",0.68463055797295
"2",1001,"CHUNK","test","error","BLOCK","BLOCK",2348,1,NA,"",0.68463055797295
"3",1001,"GLIDE","test","error","HANG","HANG",5982,1,NA,"",0.68463055797295
"4",1001,"SAIL","test","error","OCEAN","OCEAN",3091,1,NA,"",0.68463055797295
"5",1001,"ELEVATOR","test","error","BUILDING","BUILDING",7943,1,NA,"",0.68463055797295
"6",1001,"DANCER","test","error","MUSIC","MUSIC",3888,1,NA,"",0.68463055797295
"7",1001,"WELL","test","error","DONE","BEING",1697,0,NA,"",0.68463055797295
"8",1001,"EYES","test","error","COLOR","SEE",5055,0,NA,"",0.68463055797295
"9",1001,"INTRODUCE","test","error","PRESENT","MEET",6929,0,NA,"",0.68463055797295
"10",1001,"CANYON","test","error","MOUNTAIN","MOUNTAIN",5486,1,NA,"",0.68463055797295
"11",1001,"FUGITIVE","test","error","RUN","RUN",2925,1,NA,"",0.68463055797295
"12",1001,"LATIN","test","error","FRENCH","SPANISH",12039,0,NA,"",0.68463055797295
"13",1001,"ROBIN","test","error","RED","RED",1826,1,NA,"",0.68463055797295
"14",1001,"PARCEL","test","error","BOX","BOX",2214,1,NA,"",0.68463055797295
"15",1001,"LAUNDRY","test","error","SOAP","ROOM",3824,0,NA,"",0.68463055797295
"16",1001,"COURAGEOUS","test","error","LION","LION",1756,1,NA,"",0.68463055797295
"17",1001,"CRUNCH","test","error","NOISE","NOISE",3684,1,NA,"",0.68463055797295
"18",1001,"MEASUREMENT","test","error","HEIGHT","HEIGHT",8411,1,NA,"",0.68463055797295
"19",1001,"DIAMETER","test","error","LENGTH","LENGTH",4883,1,NA,"",0.68463055797295
"20",1001,"TEA","test","error","LEAVES","LEAVES",2620,1,NA,"",0.68463055797295
"21",1001,"HONEYMOON","test","error","ROMANCE"," ROMANCE",4347,1,NA,"change 2>1 bc space infront of correct",0.68463055797295
"22",1001,"CHIMNEY","test","error","BRICK","HOUSE",14012,0,NA,"",0.68463055797295
"23",1001,"DRACULA","test","error","SCARY","SCARY",1885,1,NA,"",0.68463055797295
"24",1002,"PARCEL","test","error","BOX","DELIVERY",2590,0,NA,"",0.504826132647702
"25",1002,"EYES","test","error","COLOR","FACE",4766,0,NA,"",0.504826132647702
