"","participant","condition","type","Accuracy","cond"
"1",1001,"error","Observed",0.739130434782609,2.02006665637717
"2",1001,"error","Predicted",0.68463055797295,2.03127497715876
"3",1001,"study","Observed",0.518518518518518,0.9988319107797
"4",1001,"study","Predicted",0.576153919558339,0.982103731138632
"5",1002,"error","Observed",0.464285714285714,2.00391939649358
"6",1002,"error","Predicted",0.504826132647702,1.99482571803033
"7",1002,"study","Observed",0.366666666666667,1.0085499309469
"8",1002,"study","Predicted",0.389640175581509,0.985089857373387
"9",1003,"error","Observed",0.5,1.96695088448003
"10",1003,"error","Predicted",0.593044493398088,2.03805924074724
"11",1003,"study","Observed",0.533333333333333,0.980287161571905
"12",1003,"study","Predicted",0.477124846288822,1.00467876779847
"13",1004,"error","Observed",0.344827586206897,1.98406525101513
"14",1004,"error","Predicted",0.429638197845627,1.98511711394414
"15",1004,"study","Observed",0.321428571428571,0.996673558251932
"16",1004,"study","Predicted",0.320503791194455,0.990297906529158
"17",1005,"error","Observed",0.766666666666667,1.99388155013323
"18",1005,"error","Predicted",0.782922310063913,1.98949185946956
"19",1005,"study","Observed",0.733333333333333,0.995288329590112
"20",1005,"study","Predicted",0.693099092214872,0.986799521110952
"21",1006,"error","Observed",0.571428571428571,1.96511381430551
"22",1006,"error","Predicted",0.595805328644106,2.0185242911987
"23",1006,"study","Observed",0.466666666666667,0.98485270508565
"24",1006,"study","Predicted",0.47998251977138,0.990032789669931
"25",1007,"error","Observed",0.642857142857143,2.0215884309262
"26",1007,"error","Predicted",0.682501198645761,2.02269939456135
"27",1007,"study","Observed",0.6,0.984326092191041
"28",1007,"study","Predicted",0.57374814243958,1.01374797531404
"29",1008,"error","Observed",0.95,2.03404933031648
"30",1008,"error","Predicted",0.862111391141077,2.00841033235192
"31",1008,"study","Observed",0.8,1.00769365537912
"32",1008,"study","Predicted",0.796540046018358,1.01863720531575
"33",1009,"error","Observed",0.857142857142857,2.0059448146075
"34",1009,"error","Predicted",0.846641556853875,1.96352363612503
"35",1009,"study","Observed",0.821428571428571,0.980047894110903
"36",1009,"study","Predicted",0.775628300810585,0.991776216207072
"37",1010,"error","Observed",0.928571428571429,1.99017063558102
"38",1010,"error","Predicted",0.895719214519998,2.02206151090562
"39",1010,"study","Observed",0.896551724137931,0.997227787543088
"40",1010,"study","Predicted",0.843223359819808,1.00389423809946
"41",1011,"error","Observed",0.481481481481481,1.99079414468259
"42",1011,"error","Predicted",0.543878324453448,1.97823861025274
"43",1011,"study","Observed",0.433333333333333,1.00454930666834
"44",1011,"study","Predicted",0.427474128675339,1.00489038943313
"45",1012,"error","Observed",0.615384615384615,2.01542550701648
"46",1012,"error","Predicted",0.613883532404931,2.0147435018979
"47",1012,"study","Observed",0.464285714285714,1.00783558825031
"48",1012,"study","Predicted",0.498884018623496,0.985941881947219
"49",1013,"error","Observed",0.821428571428571,2.03931506639346
"50",1013,"error","Predicted",0.654119915793951,1.99379291033372
"51",1013,"study","Observed",0.366666666666667,0.992884007794782
"52",1013,"study","Predicted",0.54216671910258,0.989987271800637
"53",1014,"error","Observed",0.62962962962963,1.96239021711051
"54",1014,"error","Predicted",0.619811432411431,1.96468766417354
"55",1014,"study","Observed",0.464285714285714,1.01823680693284
"56",1014,"study","Predicted",0.505154274265951,1.00747706488706
"57",1015,"error","Observed",0.866666666666667,1.99551939733326
"58",1015,"error","Predicted",0.691156381584237,1.98961394902319
"59",1015,"study","Observed",0.4,0.986048319386318
"60",1015,"study","Predicted",0.583559044228249,0.989660153659061
"61",1016,"error","Observed",0.68,2.00805253311992
"62",1016,"error","Predicted",0.743712985817525,2.00410432392731
"63",1016,"study","Observed",0.72,1.01093406523578
"64",1016,"study","Predicted",0.645021659080133,0.998705589361489
"65",1017,"error","Observed",0.633333333333333,1.97451895941049
"66",1017,"error","Predicted",0.666832232414192,2.0285600415431
"67",1017,"study","Observed",0.576923076923077,0.999442223813385
"68",1017,"study","Predicted",0.55620204501286,0.982833783514798
"69",1018,"error","Observed",0.678571428571429,1.96186590196565
"70",1018,"error","Predicted",0.724030446865875,1.98658183349296
"71",1018,"study","Observed",0.666666666666667,1.01528102242388
"72",1018,"study","Predicted",0.62161595567694,1.0019328321889
"73",1019,"error","Observed",0.333333333333333,1.98629003681242
"74",1019,"error","Predicted",0.433163711941564,1.98066766655073
"75",1019,"study","Observed",0.333333333333333,0.990921099614352
"76",1019,"study","Predicted",0.323641927279917,0.982190589895472
"77",1020,"error","Observed",0.931034482758621,1.97416108909994
"78",1020,"error","Predicted",0.872345361544077,2.01830108715221
"79",1020,"study","Observed",0.821428571428571,1.00800003426149
"80",1020,"study","Predicted",0.810571332514532,0.985813073571771
"81",1021,"error","Observed",0.620689655172414,1.96585392858833
"82",1021,"error","Predicted",0.572349938389042,2.01831409238279
"83",1021,"study","Observed",0.366666666666667,0.99214818793349
"84",1021,"study","Predicted",0.455943360365085,1.01619585572742
"85",1022,"error","Observed",0.482758620689655,2.03336159219965
"86",1022,"error","Predicted",0.518475972278244,2.01343676384538
"87",1022,"study","Observed",0.379310344827586,1.01431609063409
"88",1022,"study","Predicted",0.402708438608721,0.990758848367259
"89",1023,"error","Observed",0.571428571428571,2.0207038414292
"90",1023,"error","Predicted",0.56592115181173,1.98090164527297
"91",1023,"study","Observed",0.4,1.00690033411607
"92",1023,"study","Predicted",0.449447928362286,1.01073915436864
"93",1024,"error","Observed",0.785714285714286,2.02618789792061
"94",1024,"error","Predicted",0.710331039987117,1.96924200514331
"95",1024,"study","Observed",0.533333333333333,0.986596387932077
"96",1024,"study","Predicted",0.60560195348476,1.01561877096072
"97",1025,"error","Observed",0.703703703703704,1.99467363102362
"98",1025,"error","Predicted",0.774360224808887,2.00467980073765
"99",1025,"study","Observed",0.766666666666667,0.981054923925549
"100",1025,"study","Predicted",0.682431206109269,1.01064889773726
"101",1026,"error","Observed",0.740740740740741,2.01638137826696
"102",1026,"error","Predicted",0.747612036734785,1.97350059054792
"103",1026,"study","Observed",0.666666666666667,1.00534883045591
"104",1026,"study","Predicted",0.649714985487651,1.01621667089872
"105",1028,"error","Observed",0.703703703703704,2.03282874643803
"106",1028,"error","Predicted",0.783479310029641,2.03874911610037
"107",1028,"study","Observed",0.793103448275862,1.01868112040684
"108",1028,"study","Predicted",0.693796429165436,1.00293561254628
"109",1029,"error","Observed",0.896551724137931,1.97423663590103
"110",1029,"error","Predicted",0.805398605327055,1.98771476622671
"111",1029,"study","Observed",0.666666666666667,0.983413162697107
"112",1029,"study","Predicted",0.721568224960604,0.99092511289753
"113",1031,"error","Observed",0.777777777777778,1.96874520637095
"114",1031,"error","Predicted",0.783479310029641,2.03227640733123
"115",1031,"study","Observed",0.724137931034483,0.982981862518936
