,participant,condition,cue,target,study_response,study_rt,test_response,test_rt,correct
0,1001.0,1.0,EMPIRE,STATE,KING,3457.0,STATE,1610.0,1
1,1001.0,1.0,CHUNK,BLOCK,HUNK,3361.0,BLOCK,2348.0,1
2,1001.0,1.0,GLIDE,HANG,FLY,2177.0,HANG,5982.0,1
3,1001.0,1.0,SAIL,OCEAN,BOAT,2341.0,OCEAN,3091.0,1
4,1001.0,1.0,ELEVATOR,BUILDING,UP,3464.0,BUILDING,7943.0,1
5,1001.0,1.0,SWING,TREE,CLIMB,2857.0,SET,21190.0,0
6,1001.0,1.0,DANCER,MUSIC,SHOE,3845.0,MUSIC,3888.0,1
7,1001.0,1.0,WELL,DONE,BAD,4030.0,BEING,1697.0,0
8,1001.0,1.0,EYES,COLOR,GLASS,3764.0,SEE,5055.0,0
9,1001.0,1.0,INTRODUCE,PRESENT,MEET,2180.0,MEET,6929.0,0
10,1001.0,1.0,PRESCRIPTION,PILL,MEDICINE,3397.0,MEDICINE,23782.0,0
11,1001.0,1.0,CANYON,MOUNTAIN,HIGH,2268.0,MOUNTAIN,5486.0,1
12,1001.0,1.0,FUGITIVE,RUN,OUTLAW,4154.0,RUN,2925.0,1
13,1001.0,1.0,ORDER,FORM,LAW,2222.0,LATER,15960.0,0
14,1001.0,1.0,LATIN,FRENCH,AMERICA,2290.0,SPANISH,12039.0,0
15,1001.0,1.0,ROBIN,RED,HOOD,1897.0,RED,1826.0,1
16,1001.0,1.0,PARCEL,BOX,GLASS,4731.0,BOX,2214.0,1
17,1001.0,1.0,LAUNDRY,SOAP,MAT,2212.0,ROOM,3824.0,0
18,1001.0,1.0,COURAGEOUS,LION,BRAVE,3294.0,LION,1756.0,1
19,1001.0,1.0,CRUNCH,NOISE,BAR,3201.0,NOISE,3684.0,1
20,1001.0,1.0,STERN,BOAT,STRICT,4674.0,TEACHER,49446.0,0
21,1001.0,1.0,MEASUREMENT,HEIGHT,INCH,3331.0,HEIGHT,8411.0,1
