"","X.1","X","participant","condition","cue","target","study_response","study_rt","test_response","test_rt","correct"
"1",1,0,1001,1,"EMPIRE","STATE","KING",3457,"STATE",1610,1
"2",2,1,1001,1,"CHUNK","BLOCK","HUNK",3361,"BLOCK",2348,1
"3",3,2,1001,1,"GLIDE","HANG","FLY",2177,"HANG",5982,1
"4",4,3,1001,1,"SAIL","OCEAN","BOAT",2341,"OCEAN",3091,1
"5",5,4,1001,1,"ELEVATOR","BUILDING","UP",3464,"BUILDING",7943,1
"6",6,5,1001,1,"SWING","TREE","CLIMB",2857,"SET",21190,0
"7",7,6,1001,1,"DANCER","MUSIC","SHOE",3845,"MUSIC",3888,1
"8",8,7,1001,1,"WELL","DONE","BAD",4030,"BEING",1697,0
"9",9,8,1001,1,"EYES","COLOR","GLASS",3764,"SEE",5055,0
"10",10,9,1001,1,"INTRODUCE","PRESENT","MEET",2180,"MEET",6929,0
"11",11,10,1001,1,"PRESCRIPTION","PILL","MEDICINE",3397,"MEDICINE",23782,0
"12",12,11,1001,1,"CANYON","MOUNTAIN","HIGH",2268,"MOUNTAIN",5486,1
"13",13,12,1001,1,"FUGITIVE","RUN","OUTLAW",4154,"RUN",2925,1
"14",14,13,1001,1,"ORDER","FORM","LAW",2222,"LATER",15960,0
"15",15,14,1001,1,"LATIN","FRENCH","AMERICA",2290,"SPANISH",12039,0
"16",16,15,1001,1,"ROBIN","RED","HOOD",1897,"RED",1826,1
"17",17,16,1001,1,"PARCEL","BOX","GLASS",4731,"BOX",2214,1
"18",18,17,1001,1,"LAUNDRY","SOAP","MAT",2212,"ROOM",3824,0
"19",19,18,1001,1,"COURAGEOUS","LION","BRAVE",3294,"LION",1756,1
"20",20,19,1001,1,"CRUNCH","NOISE","BAR",3201,"NOISE",3684,1
"21",21,20,1001,1,"STERN","BOAT","STRICT",4674,"TEACHER",49446,0
"22",22,21,1001,1,"MEASUREMENT","HEIGHT","INCH",3331,"HEIGHT",8411,1
"23",23,22,1001,1,"DIAMETER","LENGTH","CR",4954,"LENGTH",4883,1
"24",24,23,1001,1,"PORTRAY","SHOW","VILLIAN",3315,"VIEW",28541,0
"25",25,24,1001,1,"TEA","LEAVES","BOSTON",2971,"LEAVES",2620,1
"26",26,25,1001,1,"HONEYMOON","ROMANCE","WEDDING",2347," ROMANCE",4347,1
"27",27,26,1001,1,"SAFARI","DESERT","DESER",4835,"DESERT",2758,1
"28",28,27,1001,1,"CHIMNEY","BRICK","SANTA",1980,"HOUSE",14012,0
"29",29,28,1001,1,"SIDE","ORDER","HUSTLE",2542,"JOB",30862,0
"30",30,29,1001,1,"DRACULA","SCARY","VAMPIRE",2810,"SCARY",1885,1
"31",31,30,1002,1,"PARCEL","BOX","PARCEL",4392,"DELIVERY",2590,0
"32",32,31,1002,1,"EYES","COLOR","EYES",2776,"FACE",4766,0
"33",33,32,1002,1,"LATIN","FRENCH","LATIN",2717,"ROOT",4078,0
"34",34,33,1002,1,"CRUNCH","NOISE","CRUNCH",2786,"CRACK",2526,0
"35",35,34,1002,1,"COURAGEOUS","LION","COURAGEOUS",3967,"BRAVE",6046,0
"36",36,35,1002,1,"SAIL","OCEAN","",5000,"BOAT",2878,0
"37",37,36,1002,1,"WELL","DONE","BEING",4009,"GOOD",2767,0
"38",38,37,1002,1,"INTRODUCE","PRESENT","ME",1856,"US",5151,0
"39",39,38,1002,1,"CHUNK","BLOCK","CH",3529,"BRICK",8191,0
"40",40,39,1002,1,"DRACULA","SCARY","BLOOD",3060,"SCARY",2206,1
"41",41,40,1002,1,"HONEYMOON","ROMANCE","PHASE",3186,"ROMANCE",6766,1
"42",42,41,1002,1,"GLIDE","HANG","RAIL",3152,"SAIL",3246,0
"43",43,42,1002,1,"STERN","BOAT","TOUGH",4246,"BOAT",2253,1
"44",44,43,1002,1,"EMPIRE","STATE","STATE",2592,"STATE",1950,1
"45",45,44,1002,1,"FUGITIVE","RUN","LORD",2743,"RUN",2255,1
"46",46,45,1002,1,"MEASUREMENT","HEIGHT","SCALE",3581,"RULAR",5854,0
"47",47,46,1002,1,"PRESCRIPTION","PILL","MEDS",2573,"PILL",3054,1
"48",48,47,1002,1,"DIAMETER","LENGTH","WIDTH",3019,"LENGTH",3006,1
"49",49,48,1002,1,"DANCER","MUSIC","MUSIC",3112,"MUSIC",5086,1
"50",50,49,1002,1,"CHIMNEY","BRICK","CEILING",3902,"BRICK",2638,1
"51",51,50,1002,1,"SAFARI","DESERT","TRIP",2463,"DESERT",2718,1
"52",52,51,1002,1,"TEA","LEAVES","TIME",2058,"LEAVES",3724,1
"53",53,52,1002,1,"CANYON","MOUNTAIN","VALLEY",3924,"VALLEY",5310,0
"54",54,53,1002,1,"LAUNDRY","SOAP","BASKET",3469,"SOAP",1903,1
"55",55,54,1002,1,"ELEVATOR","BUILDING","SYSTEM",4117,"BUILDING",3758,1
"56",56,55,1002,1,"PORTRAY","SHOW","SEE",4096,"SEE",5471,0
"57",57,56,1002,1,"SWING","TREE","DOWN",3139,"SET",2750,0
"58",58,57,1002,1,"ROBIN","RED","HOOD",2869,"RED",3118,1
"59",59,58,1002,1,"ORDER","FORM","DOWN",4383,"FORM",2766,1
"60",60,59,1002,1,"SIDE","ORDER","DOWN",3122,"SWING",5166,0
"61",61,60,1003,1,"PORTRAY","SHOW","",5000,"PRESENT",4798,0
"62",62,61,1003,1,"DRACULA","SCARY","FANG",4965,"SCARY",4286,1
"63",63,62,1003,1,"ORDER","FORM","FOOD",3975,"FIX",13822,0
"64",64,63,1003,1,"WELL","DONE","BEING",3892,"GOOD",5230,0
"65",65,64,1003,1,"CRUNCH","NOISE","TEETH",4304,"SOUND",7246,0
"66",66,65,1003,1,"LATIN","FRENCH","AMERICA",4773," FRENCH",8622,1
"67",67,66,1003,1,"PRESCRIPTION","PILL","DRUG",3207,"PILL",2766,1
"68",68,67,1003,1,"CHIMNEY","BRICK","SMOKE",3681,"BRICK",4846,1
"69",69,68,1003,1,"SAIL","OCEAN","BOAT",3825,"BOAT",6334,0
"70",70,69,1003,1,"STERN","BOAT","STRICT",4911,"STRONG",8302,0
"71",71,70,1003,1,"SIDE","ORDER","LEFT",3674,"LENGTH",9102,0
"72",72,71,1003,1,"FUGITIVE","RUN","ROBBER",4720,"RUNN",2894,1
"73",73,72,1003,1,"HONEYMOON","ROMANCE","LOVE",3794,"ROMANCE",3310,1
"74",74,73,1003,1,"EMPIRE","STATE","KING",3689,"KING",8510,0
"75",75,74,1003,1,"EYES","COLOR","",4569,"BALL",4622,0
"76",76,75,1003,1,"LAUNDRY","SOAP","CLOTHES",3582,"SOAP",2814,1
